bangla_speech,combined,ipa_output
কি করে বুঝাবো তারে আমি কতটা ভালবাসি?,Sylhet কিলা বুঝাইতাম তারে মুই কতখান ভালাপাই?,ʃɔlhe kɪlɐ buɟʱɐ͡ɪ̯t̪ɐm t̪ɐɾe mu͡ɪ̯ kɔt̪okʰɐn bʱɐlɐpɐ͡ɪ̯?
অনেক দিন পর তোমাকে দেখলাম,Sylhet বাক্কাদিন বাদে তুমারে দেখলাম,ʃɔlhe bɐkkɐd̪ɪn bɐd̪e t̪umɐɾe d̪ekʰlɐm
তোমাকে দেখে থমকে দারিয়ে ছিলাম,Sylhet তুমারে দেকিয়া ভেমটালা লাগিয়া উবাই রইছলাম,ʃɔlhe t̪umɐɾe d̪ekɪʲɐ bʱemtɐlɐ lɐgɪʲɐ ubɐ͡ɪ̯ ɾo͡ɪ̯cʰɔlɐm
আমি খুব কষ্টে নিজেকে সামলে নিলাম,Sylhet মুই অনেক কষ্টে নিজোরে সামলাইয়া নিছলাম,ʃɔlhe mu͡ɪ̯ ɔnek koʃte nɪɟoɾe ʃɐmlɐ͡ɪ̯ʲɐ nɪcʰɔlɐm
যখন তুমি আমাকে দেখে না দেখার ভান করলে তখন আমার দারুন লেগেছে,Sylhet যেবলা তুমি আমারে দেকিয়াও না দেখার ভান করলায় হেবলা আমার বেশ লাগছে,ʃɔlhe ɟeblɐ t̪umɪ ɐmɐɾe d̪ekɪʲɐ͡o̯ nɐ d̪ɛkʰɐɾ bʱɐn koɾlɐe̯ heblɐ ɐmɐɾ beʃ lɐgcʰe
তোমাকে সেই অনুভুতির কথা বলে বুঝাতে পারবো না,Sylhet তুমারে হউ অনুভুতির মাত কওয়া বুঝাত ফারতাম নায় ,ʃɔlhe t̪umɐɾe hɔ͡u̯ onubʱut̪ɪɾ mɐt̪ koʷɐ buɟʱɐt̪ pʰɐɾt̪ɐm nɐe̯ 
তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,"Sylhet তুমারে খুব মনো পড়ের, তুমারে লাল গোলাপ দিতাম","ʃɔlhe t̪umɐɾe kʰub mono pɔɽeɾ, t̪umɐɾe lɐl golɐp d̪ɪt̪ɐm"
আমার জীবনে কেউ নেই তুমি ছাড়া,Sylhet আমার জীবনো তুমি ছাড়া খেউ নাই,ʃɔlhe ɐmɐɾ ɟɪbɔno t̪umɪ cʰɐɽɐ kʰe͡u̯ nɐ͡ɪ̯
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,Sylhet  আমার জীবনো তুমি ছাড়া কোনো স্বপ্ন নাই,ʃɔlhe  ɐmɐɾ ɟɪbɔno t̪umɪ cʰɐɽɐ kono ʃɔpno nɐ͡ɪ̯
আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া,Sylhet আমাার দুই চউক তুমারে ছাড়া আর কিচ্ছু খুঁজে না,ʃɔlho ɐmɐɾ d̪u͡ɪ̯ cɔ͡u̯k t̪umɐɾe cʰɐɽɐ ɐɾ kɪccʰu kʰũɟe nɐ
যখন মেয়ে বুঝে তখন ছেলে বুঝেনা ,Sylhet যেব্‌লাকু ফুড়ি বুঝে হেব্‌লাকু ফুয়ায় বুঝে না,ʃɔlɔt ɟeblɐku pʰuɽɪ buɟʱe heblɐku pʰuʲɐe̯ buɟʱe nɐ
তুমি শুধু মনে রেখো আমায় সারা বেলা,Sylhet তুমি খালি মোরে মনো রাকিও সারা বেলা,ʃɔlhe t̪umɪ kʰɐlɪ moɾe mono ɾɐkɪ͡o̯ ʃɐɾɐ belɐ
চোখের কান্না মুছে  দেব তোমায় হাসি,Sylhet চকুর কান্দা মুছাইয়া দিমু তুমারে হাসি ,ʃɔlhe cokuɾ kɐnd̪ɐ mucʰɐ͡ɪ̯ʲɐ d̪ɪmu t̪umɐɾe hɐʃɪ 
তাইতো আমি বন্ধু তোমায় এতো ভালবাসি,Sylhet এরলাগি তো বন্দু তোমারে মুই অতো ভালাপাই,sɔlhe eɾlɐgɪ t̪o bond̪u t̪omɐɾe mu͡ɪ̯ ɔt̪o bʱɐlɐpɐ͡ɪ̯
"কত সুন্দর তুমি,প্রেমে পড়েছি আমি","Sylhet খত সুন্দর তুমি, পেরেমো পরছি মুই","ʃɔlhe xɔt̪o ʃund̪ɔɾ t̪umɪ, peɾemo poɾcʰɪ mu͡ɪ̯"
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,Sylhet ফুয়াইন্তে পিরিতর অভিনয় খরতে খরতে কুন সময় হাছা হাছা ভালা পাইলায় ইতা তারা নিজেও জানে না,ʃɔlhe pʰuʲɐ͡ɪ̯nt̪e pɪɾɪt̪oɾ obʱɪnɔe̯ kʰoɾt̪e kʰoɾt̪e kun ʃɔmɔe̯ hɐcʰɐ hɐcʰɐ bʱɐlɐ pɐ͡ɪ
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,Sylhet ফুড়িন্তে হাছা হাছির ভালা পাইতে পাইতে কুন সময় যে অভিনয় শুরু লাগায় ইতা তারা নিজেও জানইন না,ʃɔlhe pʰuɽɪnt̪e hɐcʰɐ hɐcʰɪɾ bʱɐlɐ pɐ͡ɪ̯t̪e pɐ͡ɪ̯t̪e kun ʃɔmɔe̯ ɟe obʱɪnɔe̯ ʃuɾu lɐgɐe̯
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,Sylhet অউ দুনিয়াত ভালা লাগার মানুষরারে ছাড়া বাছিয়া থাকা কষ্টর কিন্তুক অসম্ভব কিচ্ছু নায়,ʃɔlhe ɔ͡u̯ d̪unɪʲɐt̪ bʱɐlɐ lɐgɐɾ mɐnuʃɾɐɾe cʰɐɽɐ bɐcʰɪʲɐ t̪ʰɐkɐ koʃtoɾ kɪnt̪uk ɔʃɔmbʱ
কারো জন্য কারো জীবন থেমে থাকে না,Sylhet খেউরু লাগি খেউরুর জীবন থামিয়া থাকে না,ʃɔlhe xe͡u̯ɾu lɐgɪ xe͡u̯ɾuɾ zɪbɔn t̪ʰɐmɪʲɐ t̪ʰɐke nɐ
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,Sylhet খেউররে খুব বেশি ভালাপাওয়ার মাঝে এখ ধরনর দুর্বলতা আছে,ʃɔlhe xe͡u̯ɾɾe xub beʃɪ vɐlɐpɐ͡o̯ʷɐɾ mɐzʱe ɛx d̪ʱɔɾonɔɾ d̪uɾbolɔt̪ɐ ɐcʰe
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","Sylhet ফুয়া আর ফুড়ি বন্দু অইতে পারইন, কিন্তু তারা ঠিকউ এখজন আরোখ জনর পেরেমো ফরবা","ʃɔlho pʰuʲɐ ɐɾ pʰuɽɪ bond̪u ɔ͡ɪ̯t̪e pɐɾɪn, kɪnt̪u t̪ɐɾɐ tʰɪku ɛkʰoɟɔn ɐɾokʰ ɟɔnoɾ peɾemo "
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,Sylhet ফুয়াইন্তর লাগি দুনিয়াত সব চাইতে দামী অইলো ফুড়িন্তর হাসি,ʃɔlho pʰuʲɐ͡ɪ̯nt̪ɔɾ lɐgɪ d̪unɪʲɐt̪ ʃɔb cɐ͡ɪ̯t̪e d̪ɐmɪ ɔ͡ɪ̯lo pʰuɽɪnt̪ɔɾ hɐʃɪ
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,Sylhet তুমারে  দুই চউক ভরিয়া দেখা এখনো বাকি,ʃɔlhe t̪umɐɾe  d̪u͡ɪ̯ cɔ͡u̯k bʱoɾɪʲɐ d̪ɛkʰɐ ɛkʰono bɐkɪ
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,Sylhet তুমারে কান্দাত আইয়া জড়াইয়া ধরা বাকি,ʃɔlhe t̪umɐɾe kɐnd̪ɐt̪o ɐ͡ɪ̯ʲɐ ɟɔɽɐ͡ɪ̯ʲɐ d̪ʱɔɾɐ bɐkɪ
আমার অনেক ঠাণ্ডা লাগছে,Sylhet মোর যে ঠান্ডা লাগের,ʃɔlhet moɾ ɟe tʰɐndɐ lɐgeɾ
আমার মন খারাপ,Sylhet মোর মন খারাফ,ʃɔlɔt moɾ mon kʰɐɾɐpʰ
আপনার কি মন খারাপ ?,Sylhet আফনার কিতা মন খারাফ নি?,ʃɔlho ɐpʰnɐɾ kɪt̪ɐ mon kʰɐɾɐpʰ nɪ?
তোমার  কি মন খারাপ ?,Sylhet তুমার  কিতা মন খারাফ নি?,ʃɔlho t̪umɐɾ  kɪt̪ɐ mon kʰɐɾɐpʰ nɪ?
আব্বু আমার জন্য লাল জামা কিনে এনেছে,Sylhet আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,ʃɔlhe ɐbbɐe̯ moɾ lɐgɪ lɐl ɟɐmɐ kɪnɪʲɐ ɐncʰɪn
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,Sylhet মোর বন্দু মোর লাগি লাল শাড়ি কিনিয়া দিছে,ʃɔlhe moɾ bond̪u moɾ lɐgɪ lɐl ʃɐɽɪ kɪnɪʲɐ d̪ɪcʰe
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,Sylhet মোর বন্দু মোর লাগি এখটা লাল গোলাপ কিনিয়া দিছে,ʃɔlhe moɾ bond̪u moɾ lɐgɪ ɛkʰtɐ lɐl golɐp kɪnɪʲɐ d̪ɪcʰe
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,Sylhet মোর আম্মায় মোরে লইয়া পার্কো গুরাত যাইবা,ʃɔlhe moɾ ɐmmɐe̯ moɾe lɔ͡ɪ̯ʲɐ pɐɾko guɾɐt̪ ɟɐ͡ɪ̯bɐ
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর",Sylhet যে পিরিত যত গুফন হউ পিরিত তত গভীর,ʃɔlhe ɟe pɪɾɪt̪o ɟɔt̪o gupʰɔn hɔ͡u̯ pɪɾɪt̪o t̪ɔt̪o gobʱɪɾ
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,Sylhet ভালোবাসা ফাওয়ার চাইতে ভালোবাসা দেওয়াত অউ বেশি আনন্দ,ʃɔlhe bʱɐlobɐʃɐ pʰɐ͡o̯ʷɐɾ cɐ͡ɪ̯t̪e bʱɐlobɐʃɐ d̪e͡o̯ʷɐt̪ ɔ͡u̯ beʃɪ ɐnond̪o
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","Sylhet তুমি যদি খেউরে ভালোবাসো,তাইলে তারে ছাড়ি দেও","ʃɔlhe t̪umɪ ɟod̪ɪ kʰe͡u̯ɾe bʱɐlobɐʃo,t̪ɐ͡ɪ̯le t̪ɐɾe cʰɐɽɪ d̪e͡o̯"
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল","Sylhet যদি হে তুমার কাছে ফিরিয়া  আয়, তে হে তুমার অউ আছিল","sɔlhe ɟod̪ɪ he t̪umɐɾ kɐcʰe pʰɪɾɪʲɐ  ɐe̯, t̪e he t̪umɐɾ ɔ͡u̯ ɐcʰɪlo"
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না","Sylhet আর যদি ফিরিয়া না  আয় , তে হে  কুনোদিন অউ তুমার  আছিল না","ʃɔlhe ɐɾ ɟod̪ɪ pʰɪɾɪʲɐ nɐ  ɐe̯, t̪e he  kunod̪ɪn ɔ͡u̯ t̪umɐɾ  ɐcʰɪlo nɐ"
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে",Sylhet যেসময় কুনো বেটা কুনো বেটিরে ভালাপায় হেসময় তাইর লাগি হখলতা খরতো পারে,ʃɔlhe ɟeʃɔmɔe̯ kuno betɐ kuno betɪɾe bʱɐlɐpɐe̯ heʃɔmɔe̯ t̪ɐ͡ɪ̯ɾ lɐgɪ hɔkʰlɔt̪ɐ kʰɔɾt̪o pɐ
মুখে মুখে সবসময় ভালোবাসি ভালোবাসি বলার চেয়ে আমার মনে হয় ভালোবাসার মানুষটাকে বুঝতে পারা অনেক বড় ব্যাপার,Sylhet মুকুত হখল সময় ভালাপাই ভালাপাই কওয়ার থাকি মোর মনো অয় ভালাপাওয়া মানুষটারে বুঝাটা অনেখ বড় ব্যাপার,ʃɔlhe mukut̪o hɔkʰl ʃɔmɔe̯ bʱɐlɐpɐ͡ɪ̯ bʱɐlɐpɐ͡ɪ̯ koʲɐɾ t̪ʰɐkɪ moɾ mono ɔe̯ bʱɐlɐpɐ͡o̯ʷ
ভালোবাসা মানে পরস্পরকে বুঝতে পারা,Sylhet ভালা পাওয়া মানে এখজন আরোখ জনরে বুঝতে পারা,ʃɔlhe bʱɐlɐ pɐ͡o̯ʷɐ mɐne ɛkʰɟon ɐɾokʰ ɟɔnoɾe buɟʱt̪e pɐɾɐ
আমি যে মানুষটিকে ভালোবাসব তাকে যদি না বুঝতে পারি তাহলে এই প্রেমের কোনো অর্থ আছে বলে মনে হয় না,Sylhet মুই  যে মানুষটারে ভালাপাইমু তারে যদি বুঝতাম না পারি তাইলে অউ পিরিতর কুনো অর্থ আছে খরি মনে অয় না,ʃɔlhe mu͡ɪ̯  ze mɐnuʃtɐɾe vɐlɐpɐ͡ɪ̯mu t̪ɐɾe zod̪ɪ buzʱt̪ɐm nɐ pɐɾɪ t̪ɐ͡ɪ̯le ɔ͡u̯ pɪɾɪt̪o
নিজে অসুখী হয়ে অন্যকে ভালোবেসে সুখী করা যায়না,Sylhet নিজে অসুখী অইয়া অইন্যরে ভালোবাসিয়া সুখী খরা যায়না,ʃɔlhe nɪze ɔʃuxɪ ɔ͡ɪ̯ʲɐ ɔ͡ɪ̯nnoɾe vɐlobɐʃɪʲɐ ʃuxɪ xɔɾɐ zɐʲnɐ
কেউ আপনার জীবনে সুখ এনে দেবে ভেবে কারো সাথে প্রেমে জড়াবেন না,Sylhet খেউ আফনার জীবনো সুখ আনিয়া দিবো ভাবিয়া কারো লগে পেরেমো জড়াইবা না,ʃɔlhe kʰe͡u̯ ɐpʰnɐɾ ɟɪbɔno ʃukʰ ɐnɪʲɐ d̪ɪbo bʱɐbɪʲɐ kɐɾo lɔge peɾemo ɟɔɽɐ͡ɪ̯bɐ nɐ
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,Sylhet আফনে কারুর জীবনো সুখ আনিয়া দিবা ভাবিয়া পেরেম করইন,ʃɔlhe ɐcʰone kɐɾuɾ ɟɪbɔno ʃukʰ ɐnɪʲɐ d̪ɪbɐ bʱɐbɪʲɐ peɾem koɾɪn
"সত্যিকারের ভালোবাসা শুধু ভালোবাসার মানুষটিকে সুখী করতে চায়, তার থেকে কোনো প্রতিদান আশা করে না","Sylhet সত্তিকারর ভালোবাসা খালি ভালাপাওয়া মানুষটারে সুখী করতো চায়, তার থাকি কুনো প্রতিদান আশা করে না","ʃɔlhe ʃɔt̪t̪ɪkɐɾoɾ bʱɐlobɐʃɐ kʰɐlɪ bʱɐlɐpɐ͡o̯ʷɐ mɐnuʃtɐɾe ʃukʰɪ koɾt̪o cɐe̯, t̪ɐɾ t̪ʰ"
ভালবাসা মানে কাউকে জয় করা নয় বরং নিজেই কারো জন্য হেরে যাওয়া,Sylhet পিরিতর  মানে খেউরে জিতি লাওয়া নায় বরঞ্চ নিজেউ কারো লাগি হারি যাওয়া,ʃɔlhe pɪɾɪt̪ɔɾ  mɐne kʰe͡u̯ɾe ɟɪt̪ɪ lɐ͡o̯ʷɐ nɐe̯ bɔɾonc nɪɟe͡u̯ kɐɾo lɐgɪ hɐɾɪ ɟɐ͡o̯ʷ
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,Sylhet আফনে কুনোদিন অউ ফারতা না  অইন্য কারোর ভালোবাসারে ছিনাইয়া নিতা বা জুর খরি অইন্যর ভালা লাগার মানুষ অইতা,ʃɔlhe ɐcʰone kunod̪ɪn ɔ͡u̯ pʰɐɾt̪ɐ nɐ  ɔ͡ɪ̯nno kɐɾoɾ bʱɐlobɐʃɐɾe cʰɪnɐ͡ɪ̯ʲɐ nɪt̪ɐ bɐ ɟ
চোখের সামনে যাদেরকে দেখছেন তাদেরকে আগামিকাল সকালবেলা আর দেখতে পাবেন কিনা তার কোনও নিশ্চয়তা নেই,Sylhet চউকর সামনে যারারে দেখিয়ার তারারে আগামী কালকে সখালে আর দেখতাম পারমু কিনা এর কুনো নিশ্চয়তা নাই,ʃɔlhe cɔ͡u̯kɔɾ ʃɐmne ɟɐɾɐɾe d̪ekʰɪʲɐɾ t̪ɐɾɐɾe ɐgɐmɪ kɐloke ʃɔkʰɐle ɐɾ d̪ekʰt̪ɐm pɐɾmu 
ভালো লাগে তোমার ওই কাজল কালো চোখ,Sylhet ভালা লাগে তুমার অউ কাজলর লাখান কালা চউক,ʃɔlhe vɐlɐ lɐge t̪umɐɾ ɔ͡u̯ kɐzoloɾ lɐxɐn kɐlɐ cɔ͡u̯k
তোমার মনের কথা আজ আমাকে খুলে বলো,Sylhet তুমার মনর কথা আইজ মোরে খুলিয়া কউ,ʃɔlhe t̪umɐɾ monoɾ kɔt̪ʰɐ ɐ͡ɪ̯ɟ moɾe kʰulɪʲɐ kɔ͡u̯
"আমার হাতটা ধরে সামনের পথে এগিয়ে চলো , পেছন ফিরে আর আমরা দেখবো না","Sylhet মোর হাত খান ধরিয়া সামনে আওগাইয়া যাও, আমরা আর পিছেদি ফিরিয়া দেখতাম নায়","ʃɔlhe moɾ hɐt̪ kʰɐn d̪ʱoɾɪʲɐ ʃɐmne ɐ͡o̯gɐ͡ɪ̯ʲɐ ɟɐ͡o̯, ɐmɾɐ ɐɾ pɪcʰed̪ɪ pʰɪɾɪʲɐ d̪ek"
